id,company_en,company_cn,url,agent_reason
official_23,"SHANGHAI PHOENIX BICYCLE CO., LTD.",上海凤凰自行车有限公司,https://www.phoenix-bicycle.com,"[phase A, unreachable] WebFetch : certificat expiré. Deux tentatives curl (avec et sans vérification TLS) n'ont renvoyé aucun contenu — site inaccessible depuis cet environnement."
official_45,"TIANJIN FUJI-TA BICYCLE INDUSTRIAL CO., LTD.",天津富士达自行车工业股份有限公司,https://www.fuji-ta.com,"[phase A, unreachable] WebFetch : ECONNREFUSED. Tentatives curl en https et http n'ont renvoyé aucun contenu — site inaccessible depuis cet environnement."
official_224,SINMAT TECHNOLOGY CORP.,南宜国际材料有限公司,https://www.cemabearing.com/cn/products.php,"Racine du nom « 南宜 » (Nanyi) présente mais société enregistrée différente (昆山南宜喜玛商贸有限公司 vs 南宜国际材料有限公司) et marque différente (CEMA vs SINMAT), même secteur roulements céramique"
official_270,"KUNSHAN WANDA METAL PRODUCTS CO., LTD.",昆山市万达金属制品有限公司,https://wandatyre.cn,"[phase A, unsure] « WANDA TYRE » fondée en 1988, mais basée à Tianjin/Hebei (pas Kunshan) et vend pneus moto/PCR/TBR/agricole/ATV sans mention de pneus vélo — probable confusion de domain_guess avec Tianjin Wanda Tyre Group (cf. official_419, même marque WANDA)"
official_294,CYCLONE PRECISION (TAIZHOU) INC.,泰州凯特机械有限公司,http://WWW.CPI-CN.COM,injoignable pour l'agent mais répond en curl : WebFetch et curl (HTTP et HTTPS) bloqués par une page de challenge JS type Cloudflare (js_clearance) — contenu réel illisible malgré plusieurs tentatives
official_389,"HEBEI HONG YANG TIRE CO., LTD.",河北虹阳轮胎有限公司,https://jiluertyre.com,"Le site affiche « SHANDONG JILUER TYRE CO., LTD. » (山东吉路尔轮胎有限公司, Tengzhou) et non « Hebei Hong Yang Tire » — probable confusion de domain_guess avec la société officielle du même nom de marque JILUER (cf. official_408 qui utilise exactement ce site)"
official_519,"CHANGZHOU KEVAR PLASTICS CO., LTD.",常州新区凯华塑料有限公司,http://www.kevar-plastics.com,"[phase A, unreachable] Domaine kevar-plastics.com ne résout pas (DNS introuvable en WebFetch) et curl renvoie une réponse vide en HTTP comme en HTTPS"
official_521,"CHANGZHOU DINGSEN TRANSMISSION TECHNOLOGY CO., LTD.",常州鼎森传动科技有限公司,https://www.overrunningclutch.com,"[phase A, unsure] Site de Bangni Transmission Technology (Changzhou) Co., Ltd. / 邦尼传动技术（常州）有限公司 — même ville (Changzhou) et même secteur exact (one-way clutches, bearings) que Dingsen, mais nom d'entreprise et marque différents (Bangni/邦尼 vs Dingsen/鼎森)"
official_524,"SUZHOU KUNTENG ELECTRONICS CO., LTD.",苏州市昆腾电子有限公司,http://www.kevar-plastics.com,"[phase A, unreachable] Même domaine kevar-plastics.com que official_519, ne résout pas / réponse vide en curl"
official_549,"SHENZHEN OMNI INTELLIGENT TECHNOLOGY CO., LTD.",深圳欧米智能科技有限公司,https://www.bafang-e.com,"[phase A, mismatch] URL identique à official_548 (bafang-e.com) mais l'exposant est SHENZHEN OMNI INTELLIGENT TECHNOLOGY (marque OMNI, capteurs IoT/GPS) — le site est celui de Bafang, aucune mention d'Omni"
